SP.ADO.TFRT,ER.H2O.FWTL.ZS,SH.STA.BRTC.ZS,EN.ATM.CO2E.PC,SP.DYN.CONU.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,SP.DYN.TFRT.IN,AG.LND.FRST.K2,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,SH.IMM.MEAS,SI.DST.FRST.20,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.IN,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SH.DYN.MORT,SM.POP.NETM,DT.ODA.ALLD.CD,BX.TRF.PWKR.CD.DT,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL,SI.POV.DDAY,SI.POV.NAHC,SH.DYN.AIDS.ZS,SH.STA.MALN.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,SE.SEC.ENRR,IQ.SCI.OVRL,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,ER.PTD.TOTL.ZS,SP.URB.GROW
42.0618,..,99.3,19.56410453,..,13307.49201,7794.23553,2.0475,3042685.938,1.15E+13,2.861210767,39770,39740,1.15E+13,1.15E+13,93,..,1.857095203,77.03658537,3.60728628,55.42732036,8.1,..,..,4672000000,31.66453462,0.859481713,290107933,..,..,..,..,..,..,..,..,..,9632030,9.389222393,..,1.078360384
41.4416,..,99.3,19.65837118,..,13388.58971,7881.578642,2.0515,3045128.125,1.22E+13,3.798891127,43510,42060,1.27E+13,1.23E+13,93,5.2,2.692212124,77.48780488,3.785570991,63.21739536,8.1,..,..,4734000000,31.95894507,0.925483969,292805298,1,..,..,..,..,..,..,..,..,9632030,9.540177991,..,1.143885301
40.8214,..,99.4,19.59188523,..,13704.57705,7846.499688,2.057,3047570,1.30E+13,3.513213797,46190,44570,1.37E+13,1.32E+13,92,..,3.114942343,77.48780488,3.861064782,69.05236638,8,..,..,4795000000,32.2548766,0.921713167,295516599,..,..,..,1.1,..,101.87402,1.00387,95.05248,..,9632030,10.68382785,..,1.135884591
40.2012,..,99.4,19.09406652,..,13583.26696,7697.652535,2.108,3055495.938,1.38E+13,2.854972292,47880,47160,1.43E+13,1.41E+13,92,..,3.026204651,77.68780488,3.819579693,77.10934813,7.9,..,..,5068000000,32.56739985,0.964253917,298379912,..,..,..,..,..,..,..,..,..,9632030,11.31127437,..,1.17796816
39.581,16.98367637,99.3,19.21789784,77.1,13657.45283,7758.165986,2.12,3063421.875,1.45E+13,1.876171458,48500,48280,1.46E+13,1.45E+13,92,5.1,2.686278862,77.98780488,3.853905577,82.93180628,7.7,5428756,..,5219000000,32.87861136,0.951055243,301231207,1,..,..,..,..,..,..,..,..,9632030,11.30738779,..,1.163067761
37.2522,..,99.3,18.46176387,76.4,13663.42797,7488.081921,2.072,3071348.125,1.47E+13,-0.136579805,48980,48290,1.49E+13,1.47E+13,92,..,1.945131748,78.03902439,4.221691998,86.09952013,7.6,..,..,5364000000,33.24368685,0.945865287,304093966,..,..,..,..,..,..,..,..,..,9831510,10.31601226,..,1.156185671
34.9234,..,99.3,17.15773779,..,12913.71469,7056.783653,2.002,3079274.063,1.44E+13,-2.536757066,47730,46940,1.46E+13,1.44E+13,90,..,0.762349987,78.3902439,4.627103075,89.5449638,7.5,..,..,5740000000,33.53639923,0.876651299,306771529,..,..,..,0.8,..,..,..,..,..,9831510,7.919453277,..,1.085290294
32.5946,..,99.2,17.44286171,76.4,13394.94857,7161.451046,1.931,3087200,1.50E+13,2.563766559,48990,48900,1.52E+13,1.51E+13,92,5.1,1.165250545,78.54146341,4.657000923,92.26777096,7.3,..,..,5930000000,33.81566442,0.827846042,309321666,1,..,0.4,..,..,100.33347,1.0008,94.84594,..,9831510,8.595732842,..,1.033574121
30.2658,..,99.3,16.97695728,..,13246.02953,7030.032938,1.8945,3089950,1.55E+13,1.550835506,50570,50810,1.58E+13,1.58E+13,92,..,2.088903777,78.64146341,4.576704253,95.44904589,7.2,..,..,6104000000,34.06206439,0.720017689,311556874,..,..,0.4,..,..,99.38988,1.00434,95.99382,..,9831510,9.574003765,..,0.932736351
27.937,14.85805536,99.3,16.3104711,74.1,12964.33019,6872.102687,1.8805,3092700,1.62E+13,2.249545852,52760,53110,1.66E+13,1.67E+13,91,..,1.917849007,78.74146341,4.227818074,97.06859919,7.1,4961716,..,6303000000,34.31286833,0.727268997,313830990,..,..,0.4,0.5,..,99.16532,0.9949,96.25171,..,9831510,9.797156757,..,0.9432346
26.3216,..,99.2,16.32347679,74.1,13004.11491,6905.647138,1.8575,3095450,1.68E+13,1.842081071,53940,54340,1.70E+13,1.72E+13,92,5.1,1.754915748,78.74146341,3.811198676,98.19768385,7,..,..,6613000000,34.5515705,0.686773156,315993715,1,..,0.4,..,..,99.45544,0.9971,96.18649,..,9831510,10.51994856,..,0.90842333
24.7062,14.85805536,98.5,16.50283724,72.70028,12993.96182,6960.681985,1.8625,3098200,1.75E+13,2.451973035,55830,56720,1.78E+13,1.81E+13,92,..,1.891891294,78.84146341,3.480897196,111.5562164,6.9,..,..,6503000000,34.80614436,0.727517696,318301008,..,..,0.4,..,..,99.67338,1.00423,96.92454,..,9831510,10.95123478,..,0.953587018
23.0908,..,99.1,..,72.7,..,6803.918564,1.8435,3100950,1.82E+13,2.880910466,56720,58320,1.82E+13,1.87E+13,92,..,1.069341659,78.6902439,3.271831264,119.1439209,6.8,..,..,6578000000,35.06373087,0.730641178,320635163,..,..,0.4,..,..,100.29991,1.00508,97.65255,..,9831510,11.21470732,..,0.961098539
21.4754,..,..,..,75.93718106,..,..,1.8205,3103700,1.87E+13,1.56721517,57160,58950,1.85E+13,1.90E+13,92,5.1,1.093525424,78.53902439,3.207892169,122.5945483,6.7,..,..,6330000000,35.31830199,0.716669413,322941311,1.2,..,0.4,..,..,101.36286,0.99626,98.76993,..,9831510,10.90191682,26.32619972,0.950261502
