SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,AG.LND.AGRI.ZS,EN.ATM.CO2E.KD.GD,SP.DYN.IMRT.IN,SH.DYN.MORT,SH.MED.PHYS.ZS,SH.MED.BEDS.ZS,AG.PRD.FOOD.XD,AG.PRD.CROP.XD,AG.PRD.LVSK.XD,SP.DYN.TFRT.IN,SP.ADO.TFRT,SH.STA.BRTC.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,EN.POP.DNST,VC.IHR.PSRC.P5,SH.H2O.BASW.ZS,SH.H2O.SMDW.ZS,SH.STA.BASS.ZS,SH.STA.SMSS.ZS,SI.POV.GINI,SE.SEC.UNER.LO.ZS,SE.PRM.UNER.ZS,SE.XPD.TOTL.GD.ZS,SP.DYN.CBRT.IN,SH.XPD.GHED.GD.ZS,SH.XPD.PVTD.CH.ZS,SH.IMM.IDPT,SH.IMM.HEPB,SH.IMM.MEAS,SH.PRV.SMOK,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS
79.74146341,3.811090201,28200.65808,2.758563214,1.258027546,7.426725214,0.420829716,5.2,6.1,,3.6,88.71,90.66,91.82,1.5251,14.4514,98.9,18.27008457,68.86716827,12.86274716,0.901372739,3.479847496,1.7,99.11757757,98.22337242,99.78445547,77.47754472,,,,,10.6,6.613881141,26.86018348,91,14,95,,20.033,79.967,100,100
79.89268293,3.91402875,32034.30774,1.857258719,2.457118802,7.428484711,0.40431823,5.2,6.1,1.8971,,97.68,97.78,97.82,1.5258,14.2578,99,17.9798937,69.04442219,12.97568411,0.933020777,3.512467133,2,99.11849365,98.22520942,99.78482242,78.15762315,33.7,,,,10.5,6.646616757,26.93806589,91,14,94,,19.955,80.045,100,100
80.19268293,4.995860902,36266.18712,2.213552034,1.384087154,7.430464144,0.388719072,5.2,6.1,,3.4,101.59,102.52,101.72,1.5434,14.0642,98.8,17.67594634,69.20650153,13.11755213,0.944466927,3.545798377,2.1,99.14312709,98.27436314,99.74615379,78.80166835,,,,4.78215,10.6,6.62022382,26.96445584,93,14,94,22.8,19.878,80.122,100,100
80.34390244,4.165817612,40385.86996,2.002025395,1.094007772,7.252864955,0.364070424,5.1,6,1.9086,3.4,100.73,99.7,100.47,1.5862,13.8706,98.8,17.40097815,69.33034088,13.26868096,1.010334503,3.581804386,1.9,99.16785901,98.323732,99.70758213,79.43668931,,,,,10.9,6.845635176,26.77820623,95,14,93,,19.787,80.213,100,100
80.54390244,6.868608858,44543.04104,2.138383993,-1.32745035,7.179009913,0.347270801,5.1,5.9,,,100.43,97.54,102.54,1.6589,13.677,100,17.1356755,69.42767915,13.43664535,0.971135141,3.616757996,1.8,99.19349649,98.37494626,99.66951228,80.07097783,33.8,,,4.78036,11.2,6.937547028,26.54685378,94,14,94,,19.604,80.396,100,100
80.69512195,1.007622675,46594.45095,2.370270674,3.997498669,7.105155301,0.347945652,5,5.8,1.959,3.4,110.62,114.49,101.35,1.6808,13.2404,98.7,16.8917276,69.47633483,13.63193757,1.082907116,3.656136959,1.8,99.21898467,98.4258865,99.63149312,80.70437827,,,,4.63826,11.3,7.074023783,26.34246349,92,28,93,,19.422,80.578,100,100
80.99512195,-2.928400179,40773.06153,0.299466803,-2.315572739,7.031410228,0.342939626,5,5.7,,3.2,108.61,111.07,97.21,1.668,12.8038,98.6,16.67641051,69.45565817,13.86793132,1.141758099,3.698120418,1.8,99.24431636,98.47653634,99.59352018,81.33689565,,,,4.85264,11.3,7.937452197,25.91711581,91,42,91,,19.242,80.758,100,100
81.24634146,3.089494641,47450.31847,1.776871541,2.868094296,6.957555615,0.331364373,4.9,5.6,2.0384,2.7,108.49,108.06,97.34,1.6269,12.3672,98.5,16.48857588,69.35777322,14.1536509,1.111864075,3.739467928,1.6,99.26949893,98.52691463,99.55559382,81.96853657,33.6,,,5.36993,11.1,7.88172707,26.21536851,89,56,90,18.4,19.063,80.937,100,100
81.44878049,3.146881364,52101.79609,2.912135089,3.236382105,6.883700573,0.322722263,4.8,5.6,,2.7,109.19,111.26,95.5,1.61,11.9306,99.9,16.41526361,69.13351886,14.45121753,0.978697787,3.776245696,1.8,99.29436216,98.57667506,99.51760505,82.59921928,,,,5.27444,11,7.704585046,25.57756007,87,70,88,17.6,18.904,81.096,100,100
81.64878049,1.762278244,52542.34666,1.515678231,1.204535766,6.885328194,0.305528298,4.8,5.5,2.3962,2.7,108.73,118.77,88.62,1.6142,11.494,98.1,16.29672158,68.89937956,14.80389886,1.085817263,3.817472241,1.6,99.31808323,98.62413779,99.47897136,82.55214468,,0.30094,0.54833,,11,7.710853219,25.48383176,91,70,89,16.9,18.863,81.137,100,100
